Barcode_ID,Timestamp,Weight
05,2025-10-23 13:33:27,1.558 kg  G
05,2025-10-23 13:34:19,1.590 kg  G
40,2025-10-23 13:35:13,1.332 kg  G
40,2025-10-23 13:37:04,1.356 kg  G
39,2025-10-23 13:39:39,1.352 kg  G
39,2025-10-23 13:40:12,1.384 kg  G
18,2025-10-23 13:41:45,1.514 kg  G
18,2025-10-23 13:42:30,1.554 kg  G
17,2025-10-23 13:44:20,1.522 kg  G
17,2025-10-23 13:44:49,1.572 kg  G
27,2025-10-23 13:45:35,1.272 kg  G
27,2025-10-23 13:45:58,1.300 kg  G
33,2025-10-23 13:47:38,1.484 kg  G
33,2025-10-23 13:48:20,1.530 kg  G
23,2025-10-23 13:50:57,1.338 kg  G
23,2025-10-23 13:51:30,1.374 kg  G
20,2025-10-23 13:53:43,1.494 kg  G
20,2025-10-23 13:54:12,1.522 kg  G
26,2025-10-23 13:56:09,1.318 kg  G
26,2025-10-23 13:56:36,1.346 kg  G
06,2025-10-23 13:57:48,1.372 kg  G
06,2025-10-23 13:59:19,1.410 kg  G
21,2025-10-23 13:59:37,1.360 kg  G
21,2025-10-23 14:02:27,1.396 kg  G
19,2025-10-23 14:02:44,1.506 kg  G
19,2025-10-23 14:03:13,1.550 kg  G
11,2025-10-23 14:05:31,1.294 kg  G
11,2025-10-23 14:06:03,1.312 kg  G
29,2025-10-23 14:08:03,1.292 kg  G
29,2025-10-23 14:08:25,1.316 kg  G
36,2025-10-23 14:20:03,1.312 kg  G
36,2025-10-23 14:21:32,1.312 kg  G
14,2025-10-23 14:21:50,1.338 kg  G
14,2025-10-23 14:22:27,1.372 kg  G
45,2025-10-23 14:24:24,1.276 kg  G
45,2025-10-23 14:24:55,1.306 kg  G
22,2025-10-23 14:26:23,1.330 kg  G
22,2025-10-23 14:27:04,1.372 kg  G
16,2025-10-23 14:28:39,1.480 kg  G
16,2025-10-23 14:30:45,1.520 kg  G
34,2025-10-23 14:30:59,1.504 kg  G
34,2025-10-23 14:31:28,1.542 kg  G
43,2025-10-23 14:32:26,1.284 kg  G
43,2025-10-23 14:32:43,1.322 kg  G
30,2025-10-23 14:33:43,1.314 kg  G
30,2025-10-23 14:34:00,1.334 kg  G
32,2025-10-23 14:36:38,1.508 kg  G
32,2025-10-23 14:37:02,1.564 kg  G
13,2025-10-23 14:38:28,1.290 kg  G
13,2025-10-23 14:38:52,1.314 kg  G
37,2025-10-23 14:41:02,1.270 kg  G
37,2025-10-23 14:41:23,1.312 kg  G
07,2025-10-23 14:43:01,1.348 kg  G
07,2025-10-23 14:43:29,1.396 kg  G
15,2025-10-23 14:44:49,1.264 kg  G
15,2025-10-23 14:45:06,1.284 kg  G
44,2025-10-23 14:47:16,1.286 kg  G
44,2025-10-23 14:47:58,1.314 kg  G
01,2025-10-23 14:48:13,1.514 kg  G
01,2025-10-23 14:48:50,1.572 kg  G
2,2025-10-23 14:53:18,1.246 kg  G
2,2025-10-23 14:53:43,1.296 kg  G
41,2025-10-23 14:55:16,1.298 kg  G
41,2025-10-23 14:55:37,1.332 kg  G
35,2025-10-23 14:57:10,1.486 kg  G
35,2025-10-23 14:57:31,1.518 kg  G
09,2025-10-23 15:00:36,1.406 kg  G
09,2025-10-23 15:01:02,1.442 kg  G
31,2025-10-23 15:02:13,1.488 kg  G
31,2025-10-23 15:02:43,1.548 kg  G
02,2025-10-23 15:04:11,1.470 kg  N
02,2025-10-23 15:05:31,1.536 kg  N
08,2025-10-23 15:06:52,1.358 kg  N
08,2025-10-23 15:07:12,1.402 kg  N
04,2025-10-23 15:08:32,1.506 kg  N
04,2025-10-23 15:08:52,1.542 kg  N
03,2025-10-23 15:13:36,1.450 kg  N
03,2025-10-23 15:14:04,1.496 kg  N
10,2025-10-23 15:15:40,1.402 kg  N
10,2025-10-23 15:16:02,1.438 kg  N
25,2025-10-23 15:16:56,1.314 kg  N
25,2025-10-23 15:17:19,1.332 kg  N
12,2025-10-23 15:18:09,1.330 kg  N
12,2025-10-23 15:18:29,1.370 kg  N
12,2025-10-23 15:19:45,1.330 kg  N
38,2025-10-23 15:19:59,1.330 kg  N
38,2025-10-23 15:20:22,1.366 kg  N
28,2025-10-23 15:21:11,1.286 kg  N
28,2025-10-23 15:23:21,1.324 kg  N
092,2025-10-23 15:26:03,3.128 kg  N
092,2025-10-23 15:26:38,3.406 kg  N
091,2025-10-23 15:28:46,3.192 kg  N
091,2025-10-23 15:29:11,3.440 kg  N
111,2025-10-23 15:30:33,2.212 kg  N
111,2025-10-23 15:31:04,2.306 kg  N
112,2025-10-23 15:32:09,2.416 kg  N
112,2025-10-23 15:32:26,2.508 kg  N
108,2025-10-23 15:33:22,3.062 kg  N
108,2025-10-23 15:33:44,3.328 kg  N
98,2025-10-23 15:35:04,2.394 kg  N
98,2025-10-23 15:35:34,2.466 kg  N
100,2025-10-23 15:36:26,2.326 kg  N
100,2025-10-23 15:36:55,2.394 kg  N
97,2025-10-23 15:37:30,2.198 kg  N
97,2025-10-23 15:37:57,2.280 kg  N
109,2025-10-23 15:39:11,3.152 kg  N
109,2025-10-23 15:39:57,3.400 kg  N
99,2025-10-23 15:41:58,2.368 kg  N
99,2025-10-23 15:42:13,2.438 kg  N
93,2025-10-23 15:43:57,3.406 kg  N
93,2025-10-23 15:45:33,3.390 kg  N
106,2025-10-23 15:46:25,3.362 kg  N
106,2025-10-23 15:48:05,3.334 kg  N
115,2025-10-23 15:48:49,2.186 kg  N
115,2025-10-23 15:49:03,2.256 kg  N
110,2025-10-23 15:49:43,3.066 kg  N
110,2025-10-23 15:50:29,3.330 kg  N
113,2025-10-23 15:51:24,2.170 kg  N
113,2025-10-23 15:51:37,2.226 kg  N
107,2025-10-23 15:52:30,3.314 kg  N
107,2025-10-23 15:52:55,3.530 kg  N
114,2025-10-23 15:54:46,2.244 kg  N
94,2025-10-23 15:56:04,3.284 kg  N
94,2025-10-23 15:57:33,2.248 kg  N
96,2025-10-23 15:57:45,2.248 kg  N
96,2025-10-23 15:57:54,2.376 kg  N
95,2025-10-23 15:59:03,3.386 kg  N
95,2025-10-23 15:59:38,3.492 kg  N
